video_title,video_number,video_url,phase,phase_main,phase_name,timestamp_start,timestamp_end,start_sec,end_sec,duration_sec,instrument_standardized,description,detailed_steps,instrument_used,timestamp_raw
CataractCoach™ 2322: case 10 for this junior resident,2322,https://www.youtube.com/watch?v=UZddQoY7Fys,1-A,Wound creation,Wound creation,0:12,0:22,12.0,22.0,10.0,15 degree side port blade; Conjunctiva forceps,Wound creation,Side port creation at 8-10 oc position,15 degree side port blade   +/- Conj forceps to stabilise eye,0:12-0:22
CataractCoach™ 2322: case 10 for this junior resident,2322,https://www.youtube.com/watch?v=UZddQoY7Fys,1-B,Wound creation,,0:23,0:27,23.0,27.0,4.0,15 degree side port blade; Conjunctiva forceps,,Another side port creation at 3 oc position,15 degree side port blade   +/- Conj forceps to stabilise eye,0:23-0:27
CataractCoach™ 2322: case 10 for this junior resident,2322,https://www.youtube.com/watch?v=UZddQoY7Fys,1-C,Wound creation,,0:28,0:41,28.0,41.0,13.0,BSS cannula,,BSS (balanced salt solution)  insertion,BSS  cannula,0:28-0:41
CataractCoach™ 2322: case 10 for this junior resident,2322,https://www.youtube.com/watch?v=UZddQoY7Fys,1-D,Wound creation,,0:42,0:46,42.0,46.0,4.0,,,Vision blue dye,Trypan blue cannula,0:42-0:46
CataractCoach™ 2322: case 10 for this junior resident,2322,https://www.youtube.com/watch?v=UZddQoY7Fys,1-C,Wound creation,,0:46,0:47,46.0,47.0,1.0,BSS cannula,,BSS insertion to flush out vision blue,BSS cannula,0:46-0:47
CataractCoach™ 2322: case 10 for this junior resident,2322,https://www.youtube.com/watch?v=UZddQoY7Fys,1-D,Wound creation,,0:54,1:03,54.0,63.0,9.0,OVD cannula,,OVD insertion,OVD cannula,0:54 - 1:03
CataractCoach™ 2322: case 10 for this junior resident,2322,https://www.youtube.com/watch?v=UZddQoY7Fys,2,Capsulorhexis,Capsulorhexis,1:10,2:11,70.0,131.0,61.0,Utrata forceps,Capsulorhexis,Creation of anterior capsulotomy with utrata forceps,Utrata forceps,1:10 - 2:11
CataractCoach™ 2322: case 10 for this junior resident,2322,https://www.youtube.com/watch?v=UZddQoY7Fys,3,Hydrodissection,Hydrodissection,2:12,2:39,132.0,159.0,27.0,BSS cannula,Hydrodissection,Insert cannula tip under anterior capsule and insert BSS to seperate lens from capsule   Signs of hydrodissection Wave  Nucleus lift  Nucleus prolapse,BSS cannula,2:12- 2:39
CataractCoach™ 2322: case 10 for this junior resident,2322,https://www.youtube.com/watch?v=UZddQoY7Fys,4A,Phacoemulsification,Phacoemulsification,3:04,3:37,184.0,217.0,33.0,Phacoemulsification probe; Splitter; Chopper; Mushroom,Phacoemulsification,Divide and conquer technique  Creation of trough - using phaco probe to create a central groove in the lens nucleus till it is deep enough to crack  A gauge of the depth is to be able to see a hint of the fundal red reflex  Phaco memory 1 setting,"Phaco probe   Second instrument - chopper, splitter, mushroom",3:04 -3:37
CataractCoach™ 2322: case 10 for this junior resident,2322,https://www.youtube.com/watch?v=UZddQoY7Fys,4B,Phacoemulsification,,3:38,3:57,218.0,237.0,19.0,Phacoemulsification probe; Splitter; Chopper; Mushroom,,Cracking of lens nucleus into 2 halves Place two instruments deep into the groove and separate the pieces horizontally,"Phaco probe   Second instrument - chopper, splitter, mushroom",3:38 - 3:57
CataractCoach™ 2322: case 10 for this junior resident,2322,https://www.youtube.com/watch?v=UZddQoY7Fys,4C,Phacoemulsification,,3:58,4:45,238.0,285.0,47.0,Phacoemulsification probe; Splitter; Chopper; Mushroom,,Stop and chop Switch to phaco memory 2 setting (higher vacuum) Phaco probe holds the piece and 2nd instrument chops the lens half into smaller fragments  The small fragments are removed by the phaco probe,"Phaco probe   Second instrument - chopper, splitter, mushroom",3:58 - 4:45
CataractCoach™ 2322: case 10 for this junior resident,2322,https://www.youtube.com/watch?v=UZddQoY7Fys,5,SLM removal,SLM removal,4:46,5:52,286.0,352.0,66.0,Irrigation and aspiration probe,SLM removal,Irrigation and aspiration of soft lens material with I/A Probe,Irrigation and aspiration probe,4:46 -5:52
CataractCoach™ 2322: case 10 for this junior resident,2322,https://www.youtube.com/watch?v=UZddQoY7Fys,6A,Intraocular lens implantation,Intraocular lens implantation,5:52,6:10,352.0,370.0,18.0,OVD cannula,Intraocular lens implantation,Insert OVD to fill the capsular bag,OVD cannula,5:52  - 6:10
CataractCoach™ 2322: case 10 for this junior resident,2322,https://www.youtube.com/watch?v=UZddQoY7Fys,6B,Intraocular lens implantation,,,,,,,Lens cartridge; Kellman forceps,,Load lens into cartridge,Lens  Lens cartridge  Kelman forceps,
CataractCoach™ 2322: case 10 for this junior resident,2322,https://www.youtube.com/watch?v=UZddQoY7Fys,6C,Intraocular lens implantation,,6:11,6:43,371.0,403.0,32.0,Lens injector; Sinskey hook,,Use injector to insert lens into capsular bag   +/- sinksy hook to stabilise the eye and provide counter traction,Lens injector     +/- sinskey hook,6:11 - 6:43
CataractCoach™ 2322: case 10 for this junior resident,2322,https://www.youtube.com/watch?v=UZddQoY7Fys,6D,Intraocular lens implantation,,,,,,,Sinskey hook,,Rotate the lens into the capsular bag,sinskey hook,
CataractCoach™ 2322: case 10 for this junior resident,2322,https://www.youtube.com/watch?v=UZddQoY7Fys,7,Viscoelastic removal,Viscoelastic removal,6:44,6:57,404.0,417.0,13.0,Irrigation and aspiration probe,Viscoelastic removal,Use I/A probe to aspirate viscoat from bag and angles of the eye,I/A Probe,6:44 - 6:57
CataractCoach™ 2322: case 10 for this junior resident,2322,https://www.youtube.com/watch?v=UZddQoY7Fys,8A,Wound closure,Wound closure,6:58,7:25,418.0,445.0,27.0,BSS cannula,Wound closure,Hydrate the side ports and main port wounds using BSS cannula  Creating a whitish haze around the sides of the wounds,BSS cannula,6:58 - 7:25
CataractCoach™ 2322: case 10 for this junior resident,2322,https://www.youtube.com/watch?v=UZddQoY7Fys,8B,Wound closure,,,,,,,BSS cannula,,"Check eye pressure  Use side of BSS cannula to lightly depress onto eye to assess the intra ocular pressure If too firm, release some fluid from the side or main port wound",BSS cannula,
