video_title,video_number,video_url,phase,phase_main,phase_name,timestamp_start,timestamp_end,start_sec,end_sec,duration_sec,instrument_standardized,description,detailed_steps,instrument_used,timestamp_raw
CataractCoach™ 1206: soft and gummy cataract,1206,https://www.youtube.com/watch?v=vNtTvV21J-Q,1-B,Wound creation,,0:11,0:16,11.0,16.0,5.0,BSS cannula,,BSS (balanced salt solution) and anesthetic insertion,BSS  cannula,0:11-0:16
CataractCoach™ 1206: soft and gummy cataract,1206,https://www.youtube.com/watch?v=vNtTvV21J-Q,1-C,Wound creation,,0:20,0:28,20.0,28.0,8.0,OVD cannula,,OVD insertion,OVD cannula,0:20-0:28
CataractCoach™ 1206: soft and gummy cataract,1206,https://www.youtube.com/watch?v=vNtTvV21J-Q,1-D,Wound creation,,0:31,0:43,31.0,43.0,12.0,Keratome,,Main port wound creation - 2 or 3 plane wound insertion created temporally  2 plane insertion: Angle blade upwards slightly first then insert blade horizontally into anterior chamber,Fixation ring  Diamond keratome,0:31-0:43
CataractCoach™ 1206: soft and gummy cataract,1206,https://www.youtube.com/watch?v=vNtTvV21J-Q,2,Capsulorhexis,Capsulorhexis,0:50,1:20,50.0,80.0,30.0,Utrata forceps,Capsulorhexis,Creation of anterior capsulotomy with utrata forceps,Utrata forceps,0:50-1:20
CataractCoach™ 1206: soft and gummy cataract,1206,https://www.youtube.com/watch?v=vNtTvV21J-Q,3,Hydrodissection,Hydrodissection,1:21,1:43,81.0,103.0,22.0,BSS cannula,Hydrodissection,Insert cannula tip under anterior capsule and insert BSS to separate lens from capsule   Signs of hydrodissection Wave  Nucleus lift  Nucleus prolapse   Rotate the nucleus,BSS cannula,1:21-1:43
CataractCoach™ 1206: soft and gummy cataract,1206,https://www.youtube.com/watch?v=vNtTvV21J-Q,4A,Phacoemulsification,Phacoemulsification,1:48,3:12,108.0,192.0,84.0,Phacoemulsification probe; Chopper,Phacoemulsification,Chopping,Phaco probe   Second instrument - chopper,1:48-3:12
CataractCoach™ 1206: soft and gummy cataract,1206,https://www.youtube.com/watch?v=vNtTvV21J-Q,5,SLM removal,SLM removal,3:23,34:33,203.0,283.0,80.0,Irrigation and aspiration probe,SLM removal,Irrigation and aspiration of soft lens material with I/A Probe,Irrigation and aspiration probe   ?another instrument,3:23-34:33
CataractCoach™ 1206: soft and gummy cataract,1206,https://www.youtube.com/watch?v=vNtTvV21J-Q,6A,Intraocular lens implantation,Intraocular lens implantation,4:46,4:43,283.0,286.0,3.0,OVD cannula,Intraocular lens implantation,Insert OVD to fill the capsular bag,OVD cannula,4:46-4:43
CataractCoach™ 1206: soft and gummy cataract,1206,https://www.youtube.com/watch?v=vNtTvV21J-Q,6C,Intraocular lens implantation,,4:50,4:59,290.0,299.0,9.0,Lens injector,,Use injector to insert lens into capsular bag,Lens injector,4:50-4:59
CataractCoach™ 1206: soft and gummy cataract,1206,https://www.youtube.com/watch?v=vNtTvV21J-Q,6D,Intraocular lens implantation,,5:00,5:17,300.0,317.0,17.0,Sinskey hook,,Rotate the lens into the capsular bag,sinskey hook,5:00-5:17
CataractCoach™ 1206: soft and gummy cataract,1206,https://www.youtube.com/watch?v=vNtTvV21J-Q,7,Viscoelastic removal,Viscoelastic removal,5:20,5:43,320.0,343.0,23.0,Irrigation and aspiration probe,Viscoelastic removal,Use I/A probe to aspirate viscoat from bag and angles of the eye,I/A Probe,5:20-5:43
CataractCoach™ 1206: soft and gummy cataract,1206,https://www.youtube.com/watch?v=vNtTvV21J-Q,8A,Wound closure,Wound closure,5:47,6:13,347.0,373.0,26.0,BSS cannula,Wound closure,Hydrate the side ports and main port wounds using BSS cannula,BSS cannula,5:47-6:13
CataractCoach™ 1206: soft and gummy cataract,1206,https://www.youtube.com/watch?v=vNtTvV21J-Q,8B,Wound closure,,6:15,6:19,375.0,379.0,4.0,,,Insertion of triamcinolone (steroid medication) and moxifloxacin (antibiotics) - unique to this case,?cannula,6:15-6:19
CataractCoach™ 1206: soft and gummy cataract,1206,https://www.youtube.com/watch?v=vNtTvV21J-Q,8C,Wound closure,,6:20,6:29,380.0,383.0,3.0,BSS cannula,,Hydrate the side ports and main port wounds using BSS cannula,BSS cannula,6:20-6:29
CataractCoach™ 1206: soft and gummy cataract,1206,https://www.youtube.com/watch?v=vNtTvV21J-Q,8D,Wound closure,,6:23,6:24,383.0,384.0,1.0,BSS cannula,,"Check eye pressure  Use side of BSS cannula to lightly depress onto eye to assess the intra ocular pressure If too firm, release some fluid from the side or main port wound",BSS cannula,6:23-6:24
CataractCoach™ 1206: soft and gummy cataract,1206,https://www.youtube.com/watch?v=vNtTvV21J-Q,8E,Wound closure,,6:30,6:36,390.0,396.0,6.0,,,Check the wounds to ensure they are water tight  No leakage of fluid when wounds swiped with cotton gauze swab,Cotton gauze tip,6:30-6:36
CataractCoach™ 1206: soft and gummy cataract,1206,https://www.youtube.com/watch?v=vNtTvV21J-Q,8F,Wound closure,,6:40,6:44,400.0,404.0,4.0,,,Limbal relaxing incision to reduce astigmatism,Fixation ring ?blade,6:40-6:44
